ID;PROMPT
;True or False? This building was built in the early 20th century.
;True or False? This building was built in the early 21st century.
;True or False? This building was built in the 12th century.
;True or False? This building was built in 1810.
;True or False? This building was built in the 17th century.
T10 (Constellations);Constellations: You will shown images of constellations and asked to identify them.
T10 Questions;True or False? This constellation is Cassiopeia.
;True or False? This constellation is Draco.
;True or False? This constellation is Gemini.
;True or False? This constellation is Leo.
;True or False? This constellation is Virgo.
;True or False? This constellation is Lyra.
;True or False? This constellation is Scorpius.
;True or False? This constellation is Hercules.
T11 (Headlines);Newspapers Headlines: You will be given headlines, and asked to identify the magazine that published the article, between The Economist and WIRED.
T11 Questions;This headline is from:
;This headline is from:
;This headline is from:
;This headline is from:
;This headline is from:
;This headline is from:
;This headline is from:
;This headline is from:
T12 (Synonyms);Synonyms: You will be given words, and asked to identify the correct synonym corresponding to each word.
T12 Questions;True or False? Refractory is a synonym for recalcitrant.
;True or False? Hate is a synonym for noxious.
;True or False? Callow is a synonym for placid.
;True or False? Calm is a synonym for harangue.
;True or False? Complex is a synonym for knotty.
;True or False? Annihilate is a synonym for opportune.
;True or False? Plaintiff is a synonym for payment.
;True or False? Hedonism is a synonym for pleasure seeking.
T13 (Music);Classical Compositions: You will be asked to listen to audio clips of classical compositions, and asked to identify the composer.
T13 Questions;True or False? This piece was composed by Bach.
;True or False? This piece was composed by Chopin.
;True or False? This piece was composed by Handel.
;True or False? This piece was composed by Chopin.
;True or False? This piece was composed by Chopin.
;True or False? This piece was composed by Brahms.
;True or False? This piece was composed by Debussy.
;True or False? This piece was composed by Tchaikovsky
T14 (Midterms);US Midterm Predictions: You will be given the names American states, and be asked to predict whether the majority of Congress-members elected in that state will be Republican or Democrat.
T14 Questions;In Arizona, a majority of elected Congress-members will be:
;In Georgia, a majority of elected Congress-members will be:
;In Pennsylvania, a majority of elected Congress-members will be:
;In Nevada, a majority of elected Congress-members will be:
;In Wisconsin, a majority of elected Congress-members will be:
;In Florida, a majority of elected Congress-members will be:
;In New Hampshire, a majority of elected Congress-members will be:
;In Ohio, a majority of elected Congress-members will be:
T15 (NBA);NBA Predictions: You will be given upcoming NBA games and asked to predict the games' outcome.
T15 Questions;True or False? Dallas Mavericks will win against Brooklyn Nets on Thursday October, 27th.
;True or False? Miami Heats will win against Golden State Warriors on Thursday October, 27th.
;True or False? Cleveland Cavaliers will lose against Boston Celtics on Friday October, 28th.
;True or False? New York Knicks will win against MilwaukeeBucks  on Friday October, 28th.
;True or False? Utah Jazz will win against Denver Nuggets  on Friday October, 28th.
;True or False? New Orleans Pelicans will lose against Phoenix Suns  on Friday October, 28th.
;True or False? Philadelphia 76ers will lose against Chicago Bulls on Saturday October, 29th.
;True or False? Indiana Pacers will lose against Brooklyn Nets on Saturday October, 29th.
